,product_name,rating,description,comment
0,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),4,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.",Good product
1,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),5,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.","Hii,I received the exactly same product which was displayed.
I gifted the perfume to my best friend on his birthday I got the very good review from him that he liked every fragrance in it and he thanked me to gifting such a good perfume."
2,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),3,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.",Product is really good but both the black bottles ( rider and champs) have same fragrance. That shouldn't happened but unfortunately I can't do anything about that 😂... Overall a good product and worth buying! Smell doesn't last that long ( maximum 2hr) !!!
3,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),4,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.",Good
4,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),5,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.","This luxury gift pack is a must have for any perfume lover. Each perfume has very unique fragrance. The quality and Longivity of these perfumes are impressive, Making it a perfect luxury gift pack. Highly recommended."
5,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),5,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.",Nice Product And Fragrance Is Also Good.
6,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),5,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.","One of the best product I have used from Denver. the Rider one has the unforgettable fragrance from the other 3.
Idk wheather it was available before or not but I am glad that I grabbed the deal...
Thanks Flipkart.."
7,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),5,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.","Good product Superb fragrance
With a decent classy smell"
8,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),2,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.",No fragrance
9,DENVER Sporting Club EDP- SRK's Favorite Luxury Gift Pack- 20ml x 4 Set Eau de Parfum - 80 ml  (For Men),5,"This fragrance is made for an outstanding men in the whole world. Compose of a fantastic blend of spices with musk. It is a perfect all time wear. Its fresh top notes blended with exotic spices and richness of geranium at heart with woody, musky base gives a complete look to the wearer. Rider:- It opens with sparkling and intense freshness of grapefruit , bergamot and lemon. It is enriched with rich florals and oakmoss in the heart while base contains sandalwood, tonka beans and musk. It would give you a feel of modern masculine and authentic fragrance. Victor:- A sparkling fresh mandarin and bergamot at the top make your day with intense freshness leading to a sensual profile at heart which is composed of rich florals and oakmoss . The base is enriched with woody blends ,musk and rich amber. Champ:- A very fresh masculine woody citrus aromatic fragrance for today’s youth to make him more confident and champion in all aspects of life.",Awesome fragrance just go for it.😍🥰
